364;Alberto Maria Metelli;;;;;;;;;;https://doi.org/10.3233/FAIA361|https://hdl.handle.net/10589/170616;;;978-1-64368-362-1|978-1-64368-363-8;;phd/it/Metelli21;2022-11-28;;;;;IOS Press;;;Polytechnic University of Milan, Italy;Frontiers in Artificial Intelligence and Applications;db/series/faia/index.html;;;Exploiting environment configurability in reinforcement learning.;;361;2022|2022
2407;Michael A. Curth;;;;;;;;;;https://d-nb.info/891654135;;;978-3-89012-177-2;;phd/dnb/Curth89;2021-07-17;;;;1-370;Eul, Germany;;;;;;;;Planspieltechnik und Computer-based-Training zur Schulung von Einkäufern im Handel.;;;1989
2444;Eberhard E. Wedekind;;;;;;;;;;https://d-nb.info/880936800;;;978-3-8244-0003-4;;phd/dnb/Wedekind88;2021-07-17;;;;1-240;Dt. Univ.-Verlag;;;;;;;;Informationsmanagement in der Organisationsplanung.;;;1988
2636;Peter F. Tropschuh;;;;;;;;;;https://d-nb.info/890277257;;;978-3-446-15577-0;;phd/dnb/Tropschuh89;2021-07-17;;;;1-141;Hanser;;;;;;;;Rechnerunterstützung für das Projektieren mit Hilfe eines wissensbasierten Systems.;;;1989
2828;Jan Sbresny;;;;;;;;;;https://d-nb.info/953963667;;;;;phd/dnb/Sbresny97;2021-07-17;;;;1-132;Schweizerbart;;;;;;;;"Fehlerquellen in raumbezogenen Informationssystemen: Quantifizierung und Minimierung am Beispiel des niedersächsischen Informationssystems ; mit 7 Tabellen.";;;1997
3075;Detlef F. Pape;;;;;;;;;;https://d-nb.info/900307455;;;978-3-88585-788-4;;phd/dnb/Pape90;2021-07-17;;;;1-185;Verlag TÜV Rheinland;;;;;;;;Logistikgerechte PPS-Systeme: Konzeption, Aufbau, Umsetzung.;;;1990
3281;Veronika Schaeffler;;;;;;;;;;https://d-nb.info/944429890;;;;;phd/dnb/Schaeffler95;2021-07-17;;;;1-167;GSF-Forschungszentrum für Umwelt und Gesundheit;;;Technical University Munich, Germany;;;;;Wissensbasierte Planung einer Krankenhausverpflegung dargestellt am Beispiel der Diätverpflegung für Diabetiker.;;;1995
3450;Uwe Dräger;;;;;;;;;;https://d-nb.info/943539935;;;978-3-8265-5058-4;;phd/dnb/Drager95;2021-07-17;;;;1-143;Shaker;;;;;;;;Ansätze zur Unterstützung der oberen Führungsebene durch wissensbasierte Planungs- und Kontrollsysteme.;;;1995
3718;Helmut Degen;;;;;;;;;;https://d-nb.info/95720602X;;;978-3-8244-0474-2;;phd/dnb/Degen99;2021-07-17;;;;1-454;Dt. Univ.-Verlag;;;Free University of Berlin, Dahlem, Germany;;;;;Kundenorientierte Softwareproduktion.;;;1999
4638;Gerhard Rigoll;;;;;;;;;;https://d-nb.info/910924112;;;978-3-540-53870-7;;phd/dnb/Rigoll91;2021-07-17;;;;1-321;Springer;;habil;University of Duisburg-Essen, Germany;;;;;Algorithmen der Sprachverarbeitung zur Entwicklung eines vollsynthetischen Sprachausgabesystems.;;;1991
4729;Christian Bierwirth;;;;;;;;;;https://d-nb.info/931740096;;;978-3-8244-2051-3;;phd/dnb/Bierwirth93;2021-07-17;;;;1-233;Dt. Univ.-Verlag;;;;;;;;Flowshop Scheduling mit parallelen genetischen Algorithmen: eine problemorientierte Analyse genetischer Suchstrategien.;;;1993
4943;Kamill Panitzek;;;;;;;;;;https://d-nb.info/1118727479|https://d-nb.info/1188243519|https://nbn-resolving.org/urn:nbn:de:101:1-201611101616|https://nbn-resolving.org/urn:nbn:de:101:1-2019061104403644226701|https://www.grin.com/document/342295;;;;;phd/dnb/Panitzek16;2021-07-17;;;;;GRIN Verlag;;;TU Darmstadt, Germany;;;;;Mobile Service Provision in Harsh Environments.;;;2016
5227;Joachim Weickert;;;;;;;;;;https://d-nb.info/952577437;;;978-3-519-02606-8;;phd/dnb/Weickert98;2021-07-17;;;;1-170;Teubner;;;;;;;;Anisotropic diffusion in image processing.;;;1998
5311;Clino Vallone;;;;;;;;;;https://d-nb.info/911214143;;;978-3-85743-960-5;;phd/dnb/Vallone92;2021-07-17;;;;1-215;Verlag Industrielle Organisation;;;;;;;;Der vernetzte Manager: intelligente Nutzung des PC am Arbeitsplatz.;;;1992
5422;Georg Schneider 0002;;;;;;;;;;https://d-nb.info/956598889;;;978-3-8244-2124-4;;phd/dnb/Schneider99h;2021-07-17;;;;1-211;Deutscher Universitäts-Verlag;;;;;;;;Virtual Team Assistant: intelligente Assistenzsysteme für die automatisierte Vorgangsbearbeitung.;;;1999
5438;Evelina Koycheva;;;;;;;;;;https://d-nb.info/1028143168;;;978-3-486-71526-2;;phd/dnb/Koycheva13;2021-07-17;;;;1-305;Oldenbourg;;;TU Dresden, Germany;;;;;Entwurfsbegleitende Leistungsanalyse mit UML, MARTE und generalisierten Netzen.;;;2013
5836;Marlies Rogalski|Regina Fischer 0001;;;;;;;;;;https://d-nb.info/94263554X;;;978-3-409-22118-4;;phd/dnb/FischerR95;2021-07-17;;;;1-306;Gabler;;;;;;;;"Datenbankgestütztes Kosten- und Erlöscontrolling: Konzept und Realisierung einer entscheidungsorienerten Erfolgsrechnung; 2. überarbeitete Auflage.";;;1995
6708;Norbert Drescher;;;;;;;;;;https://d-nb.info/900263938;;;978-3-7785-1947-9;;phd/dnb/Drescher90;2021-07-17;;;;1-221;Hüthig;;;;;;;;Universalprozessoren und ihre Realisierung.;;;1990
7158;Guido Wirtz;;;;;;;;;;https://d-nb.info/953295192;;;978-3-8265-3666-3;;phd/dnb/Wirtz98;2021-07-17;;;;1-175;Shaker;;;University of Siegen, Germany;;;;;Meander: ein graph-basierter Ansatz zur Unterstützung der Konstruktion explizit paralleler Programme für Parallelrechner mit verteiltem Speicher.;;;1998
7305;Franziska Klügl;;;;;;;;;;https://d-nb.info/96173972X;;;978-3-8273-1790-2;;phd/dnb/Klugl01;2021-07-17;;;;1-234;Addison-Wesley;;;;;;;;Multiagentensimulation: Konzepte, Werkzeuge, Anwendungen.;;;2001
7773;Thomas Pötsch;;;;;;;;;;https://d-nb.info/1103689096;;;978-3-658-14814-0;;phd/dnb/Potsch16a;2021-07-17;;;;1-195;Springer Vieweg;;;;;;;;Future mobile transport protocols: adaptive congestion control for unpredictable cellular networks.;;;2016
7824;Dietrich Kuske;;;;;;;;;;https://d-nb.info/961225726;;;;;phd/dnb/Kuske00;2021-07-17;;;;1-181;;;habil;Dresden University of Technology, Germany;;;;;Contributions to a trace theory beyond Mazurkiewicz traces.;;;2000
